# Constructed from biom file
#OTU ID	UR1_CF_26	UR1_CF_30	UR1_DP_26	UR1_DP_30	UR1_Feces_26	UR1_Feces_30	UR1_Feed	UR1_GUT_30	UR1_SWTR_26	UR1_SWTR_30	UR1A_GUT_26	UR2_CF_26	UR2_CF_30	UR2_DP_26	UR2_DP_30	UR2_Feces_26	UR2_Feces_30	UR2_Feed	UR2_GUT_30	UR2_SWTR_26	UR2_SWTR_30	UR2A_GUT_26	UR3_CF_26	UR3_CF_30	UR3_DP_26	UR3_DP_30	UR3_Feces_26	UR3_Feces_30	UR3_Feed	UR3_GUT_30	UR3_SWTR_26	UR3_SWTR_30	UR3A_GUT_26	UR4_CF_26	UR4_CF_30	UR4_Feces_26	UR4_Feces_30	UR4_GUT_30	UR4_SWTR_26	UR4_SWTR_30	UR4A_GUT_26	UR5_CF_26	UR5_CF_30	UR5_Feces_26	UR5_Feces_30	UR5_GUT_30	UR6_Feces_26
a63bc5995a4325fd8bdec67e7c3d0f53	0.0	0.0	0.0	0.0	1513.0	16912.0	0.0	0.0	0.0	228.0	16.0	0.0	0.0	0.0	9.0	815.0	3822.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	0.0	0.0	30.0	2415.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17248.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	16692.0	257.0	0.0	0.0
bf907227d440e1805388be1a71b77a50	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	37733.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16727.0	844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	2404.0	75.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0
a68580e08c7ab43cdd39569be8a160f7	0.0	4496.0	212.0	523.0	277.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	5154.0	237.0	21649.0	59.0	432.0	0.0	0.0	207.0	0.0	0.0	1115.0	0.0	793.0	14012.0	219.0	174.0	0.0	0.0	94.0	0.0	0.0	2866.0	37.0	0.0	91.0	0.0	133.0	0.0	0.0	399.0	4474.0	333.0	0.0	0.0	0.0
df759a6d02f86cbfbee1086eb4af0555	37.0	462.0	282.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	485.0	723.0	652.0	474.0	0.0	0.0	0.0	0.0	0.0	25.0	613.0	990.0	1802.0	2769.0	103.0	0.0	0.0	0.0	0.0	0.0	45280.0	687.0	0.0	84.0	42.0	11.0	0.0	0.0	29.0	30.0	0.0	264.0	16.0	0.0	35.0
e90365ed36204bee79d12dd8e193b677	0.0	0.0	140.0	0.0	45.0	132.0	0.0	0.0	9387.0	29078.0	0.0	0.0	95.0	0.0	0.0	36.0	0.0	0.0	0.0	11057.0	15.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	654.0	72.0	0.0	0.0	0.0	0.0	82.0	0.0	2494.0	387.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0
c22b16cc6108c04f29fea3b6d4c81571	0.0	0.0	0.0	0.0	206.0	43.0	93.0	0.0	0.0	382.0	0.0	0.0	122.0	0.0	0.0	804.0	49.0	111.0	0.0	271.0	149.0	0.0	0.0	88.0	0.0	0.0	333.0	0.0	35986.0	24.0	117.0	0.0	0.0	0.0	4372.0	147.0	921.0	0.0	99.0	0.0	0.0	0.0	0.0	747.0	4843.0	0.0	0.0
3d7c55ae4fdf4bb6e0d2a2f2ae66cd6d	0.0	11954.0	271.0	2488.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	16184.0	76.0	3144.0	0.0	224.0	0.0	0.0	0.0	149.0	0.0	3444.0	298.0	0.0	2903.0	47.0	124.0	0.0	0.0	68.0	0.0	216.0	28.0	21.0	0.0	0.0	0.0	3778.0	0.0	0.0	1114.0	2931.0	263.0	0.0	0.0	142.0
6c6b828657c4425d41b50eace891ebeb	166.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	2883.0	18134.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	1897.0	6090.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	9717.0	26.0	0.0	0.0	0.0	38.0	0.0	0.0	8556.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0
142a26aa5e151563c9c3bf351ec21670	0.0	0.0	0.0	0.0	11191.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0	6.0	0.0	0.0	16263.0	1917.0	0.0	0.0	2226.0	33.0	0.0	0.0	0.0	0.0	0.0	1055.0	3881.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	886.0	758.0	0.0	463.0	0.0	0.0	0.0	0.0	5737.0	772.0	0.0	0.0
868e0165fe32a8925b7f20afa5e1dbfc	2303.0	1557.0	1012.0	0.0	34.0	0.0	27.0	0.0	1146.0	2349.0	0.0	0.0	1046.0	98.0	0.0	0.0	29.0	29.0	0.0	5861.0	3032.0	0.0	3448.0	1606.0	25.0	22.0	35.0	0.0	0.0	0.0	755.0	3126.0	0.0	10289.0	1769.0	0.0	26.0	37.0	1018.0	1829.0	0.0	2159.0	638.0	0.0	177.0	0.0	0.0
0c5d2114ee9993714e590b3f7cb4e9ef	10465.0	5441.0	3728.0	61.0	131.0	55.0	38.0	13.0	805.0	719.0	0.0	38.0	3736.0	132.0	0.0	76.0	26.0	78.0	0.0	2251.0	905.0	50.0	1134.0	2134.0	35.0	90.0	62.0	44.0	0.0	0.0	554.0	581.0	92.0	3105.0	2368.0	39.0	59.0	52.0	293.0	1412.0	0.0	2778.0	348.0	47.0	187.0	0.0	0.0
